Mine Site Name,Company Name,Latitude,Longitude
Mary River,ArcelorMittal Mines Canada Inc.,71.323967,-79.382267
Meadowbank,Agnico Eagle Mines Limited,65.022231,-96.071652
Ekati,Dominion Diamound Corporation,64.720671,-110.620348
Diavik,Diavik Diamond Mines Inc.,64.482814,-110.286602
Minto,Capstone Mining Corporation,62.617427,-132.253951
Raglan,Glencore Canada Corporation,61.686841,-73.678956
Nunavik,Canadian Royalties Inc.,61.648581,-73.904405
Fireside,Fireside Minerals Ltd,59.758439,-127.244138
Red Chris,Imperial Metals Corporation,58.437382,-129.999363
Rabbit Lake,Cameco Corporation Resources Inc.,58.200268,-103.716617
Cigar Lake,Cameco Corporation Resources Inc.,58.068247,-104.54356
McArthur River,Cameco Corporation Resources Inc.,57.763608,-105.051639
Kearl,Imperial Oil Ltd.,57.385691,-111.070568
Horizon,Canadian Natural Resources Ltd.,57.322971,-111.821791
Aurora North and South,Syncrude Canada Ltd.,57.297967,-111.50498
Muskeg River,Shell Canada Energy,57.256105,-111.536327
Jackpine,Shell Canada Energy,57.20829,-111.528048
Steepbank,Hammerstone Corporation,57.189038,-111.553169
Muskeg Valley,Hammerstone Corporation,57.189038,-111.553169
Mildred Lake,Syncrude Canada Ltd.,57.043214,-111.596746
Millennium and Steepbank,Suncor Energy Inc.,56.925009,-111.335542
McLeod,Lehigh Cement Company,56.853634,-111.437861
Fort McMurray West,Suncor Energy Inc.,56.790002,-111.465541
Voisey's Bay,Vale Newfoundland and Labrador Limited,56.33425,-62.097423
Thompson,Vale Canada Limited,55.712602,-97.850996
Birtchtree,Vale Canada Limited,55.70066,-97.926945
Santoy,Silver Standard Resources Inc,55.689051,-103.599827
Seabee,Silver Standard Resources Inc,55.684341,-103.62189
Brule,Conuma Coal Resources Ltd.,55.3948,-121.831577
Mitsue,Tiger Calcium Services Inc.,55.263797,-114.59009
Calling Lake,Calcuim Incorporated,55.174118,-113.22
Mt Milligan,Centerra Gold Inc,55.125925,-124.022851
Lalor Lake,HudBay Minerals Inc.,54.873367,-100.150057
777,HudBay Minerals Inc.,54.77463,-101.87667
Reed,HudBay Minerals Inc.,54.612744,-100.164994
Huckleberry,Huckleberry Mines Ltd,54.398242,-126.652161
Lindbergh,K+S Windsor Salt Ltd,53.859738,-110.67012
Genesee,Westermoreland Coal Company,53.316042,-114.261749
Coal Valley,Coal Valley Resources Inc.,53.07107,-116.786973
Cardinal River,Teck Resources Limited,53.068905,-117.408863
Carol Lake,Iron Ore Company of Canada,53.03706,-66.958832
Victor,De Beers Canada Inc.,52.821284,-83.891798
Renard,Stornoway Diamond Corporation,52.818554,-72.202881
Mont-Wright,ArcelorMittal Mines Canada Inc.,52.757806,-67.315405
Eleonore,Goldcorp Inc.,52.70556,-76.068051
Musselwhite,Goldcorp Inc.,52.606093,-90.36878
Mount Polley,Imperial Metals Corporation,52.571952,-121.640793
Gibraltar,Taseko Mines Limited,52.52848,-122.268024
Paintearth,Westermoreland Coal Company,52.435665,-112.132097
Unity,Compass Minerals Canada Corporation,52.42291,-109.107635
Fire Lake,ArcelorMittal Mines Canada Inc.,52.353987,-67.368946
Patience Lake,Potash Corporation of Saskatchewan Inc.,52.095459,-106.372245
Cory,Potash Corporation of Saskatchewan Inc.,52.091098,-106.855768
Vanscoy,Agrium Inc.,52.007849,-107.091316
Clearwater,Burnco Rock Products Ltd.,51.96526,-115.284532
Colonsay,The Mosaic Company,51.933193,-105.767701
Allan,Potash Corporation of Saskatchewan Inc.,51.930283,-106.071241
Lanigan,Potash Corporation of Saskatchewan Inc.,51.853502,-105.210699
Wynyard,Compass Minerals Canada Corporation,51.78029,-104.319957
Sheerness,Westermoreland Coal Company,51.442691,-111.783284
Faulkner,Graymount Inc.,51.415368,-98.767792
Exshaw,Graymount Inc.,51.069615,-115.134852
Exshaw,Lafarge Canada Inc.,51.06513,-115.178213
Red Lake,Goldcorp Inc.,51.060878,-93.745066
Sunnynook,Rio Petro Ltd.,51.047577,-111.256966
Red Lake,Absorbent Products Ltd.,50.828782,-120.604275
Pavilion Lake,Graymount Inc.,50.814492,-121.646841
Mount Brussilof,Baymag Inc,50.788889,-115.677778
Amaranth,"CertainTeed Gypsum Canada, Inc.",50.730265,-98.768053
Harper Ranch,Lafarge Canada Inc.,50.67083,-120.066667
Esterhazy,The Mosaic Company,50.662958,-101.855563
New Afton,New Gold Inc,50.659772,-120.513781
Tio,Rio Tinto Fer et Titane Inc.,50.555786,-63.413392
Falkland,Lafarge Canada Inc.,50.51111,-119.5525
Elkhorn,"CertainTeed Gypsum Canada, Inc.",50.49722,-115.905
Highland Valley Copper,Teck Resources Limited,50.487371,-121.044307
Rocanville,Potash Corporation of Saskatchewan Inc.,50.463265,-101.541033
Chaplin Lake,Saskatchewan Mining and Minerals Inc.,50.461167,-106.669273
Belle Plaine,The Mosaic Company,50.42939,-105.214243
Tanco,Tantalum Mining Corporation of Canada Limited,50.428397,-95.451631
Benson Lake,Imasco Minerals Inc.,50.383763,-127.255134
Fording River,Teck Resources Limited,50.188311,-114.879386
4J,Georgia-Pacific Canada Inc,50.135164,-115.659888
Wilcox,Canadian Clay Products Inc.,50.091872,-104.718668
Greenhills,Teck Resources Limited,50.060413,-114.856387
Detour Lake,Detour Gold Corporation,50.017792,-79.717878
Ming,Rambler Metals and Mining PLC,49.986596,-56.178253
Pine Cove,Anaconda Mining Inc,49.961335,-56.124425
Line Creek,Teck Resources Limited,49.948886,-114.761408
Quinsam,Hillsborogh Resources Limited ,49.930422,-125.482365
Hargrave,ERCO Worldwide ,49.903892,-101.047737
Blubber Bay,Ash Grove Cement Company,49.785398,-124.62214
Van Anda,Imperial Limestone Co. Ltd.,49.741683,-124.524753
Elkview,Teck Resources Limited,49.734707,-114.83331
Gillies Bay,Texada Quarrying Ltd.,49.716179,-124.557177
Bracemac-McLeod,Glencore Canada Corporation,49.688322,-77.694725
Summit,Graymount Inc.,49.635807,-114.680245
Casa Berardi,Helca Mining Company,49.573493,-79.294767
Coal Mountain,Teck Resources Limited,49.509905,-114.654544
Bachelor Lake,Metanor Resources Inc.,49.494655,-76.168054
Bromley Creek/Zeo,Canadian Zeolite Corp.,49.42167,-120.595
Bud,Absorbent Products Ltd.,49.41861,-120.525
Copper Mountain,Copper Mountain Mining Corporation,49.330327,-120.536423
Langlois,Nystar NV,49.245407,-76.674019
Poplar River,Westermoreland Coal Company,49.213164,-105.470944
Lac Des Iles,North American Palladium Ltd.,49.169698,-89.591804
Estevan,Westermoreland Coal Company,49.093082,-102.886981